ID,Posted at,Screen name,Text
1666996952821641217,2023-06-09 02:33:39 +0000,Me_Unstoppable2,@shipoolix از مونترال و تورنتو، اتوبوس داره میره
1666988277004468226,2023-06-09 01:59:11 +0000,vezzeh_khanom,@rezaraul7 از مونترال فوت میکنم میره میره تا نیویورک
1666980112959430659,2023-06-09 01:26:44 +0000,arash_fd75,جالب‌ترین داستان تاخیر و کنسلی تو فرودگاه، مونترال که طرف داشت فرانسوی صحبت میکرد و همه داشتن با هم حرف حرف میزدن و… https://t.co/R2z96zq6K7
1666961210128867328,2023-06-09 00:11:37 +0000,Shemosim,@s3pm3p @Farha_ng @etoilelanuit ببین دروغ چرا اگه سالی ۷۰ هزارتا داشته باشی و مونترال یا کبک زندگی کنی حتی سیو هم م… https://t.co/8sAWptUehU
1666945650011824130,2023-06-08 23:09:47 +0000,itsaidasdaily,"امروز این کتابخونه رو پیدا کردم و زیبا بود. 
#مونترال https://t.co/mTlADxKrqu"
1666927436372537346,2023-06-08 21:57:25 +0000,Itsamirrgh,تفاوت ژن فرانسوی و بریتیش رو میتونید از مقایسه دخترای وایت ونکوور و مونترال بفهمید. فرانسوی ها با فاصله خوشگل ترن.
1666920939320139777,2023-06-08 21:31:36 +0000,pourzangi,@AlirezaAkhondi ما هم شنبه در کانادا مونترال راهپیمایی داریم✌️✌️✌️
1666914537419812865,2023-06-08 21:06:10 +0000,Mohammadzp32868,@Helvegen03 -سه گانه اولی هست که وظیفه ساخت ریمیک به مونترال داده شده و امیدوارم از پسش بر بیاد. خلاصه که فک نکن ای… https://t.co/ssRiJpJXHZ
1666907559658151940,2023-06-08 20:38:26 +0000,FekrKon,"#مونترال
#فکرکن
#StJosephChurch https://t.co/scbFnnFCul"
1666907332696059905,2023-06-08 20:37:32 +0000,SalamToronto,"#قیمت_نفت به بشکه‌ای ۷۰ #دلار_آمریکا کاهش یافت.
.
.
.
.
.
#دلار   #دلارکانادا   #دلارآمریکا   #دلار_کانادا… https://t.co/CfUBb5m8HC"
1666895151724130304,2023-06-08 19:49:08 +0000,dirtfemmes,@Iioncunt نمونه ممتاز صادرات کشور به مونترال ✅
1666893022926360577,2023-06-08 19:40:40 +0000,ImNotBananas,@ArashVenoM همينم بود. تازه مونترال بدتر از ونكوور
1666890601130778630,2023-06-08 19:31:03 +0000,shaqayeqzz,@pouyaism من آگست میخوام برم‌ مونترال که 🥲
